,2019q2,2018q4,2019q3,2019q1,2019q4
CommonStockSharesOutstanding,59695000.0,62594000.0,60129000.0,,60367000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1285492000.0,1316728000.0,1229392000.0,,1185262000.0
StockIssuedDuringPeriodSharesStockOptionsExercised,1000.0,814.0,1000.0,,5943.0
StockIssuedDuringPeriodValueStockOptionsExercised,3000.0,179000.0,16000.0,,3000.0
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,135000.0,,282000.0,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,18901000.0,44690000.0,26539000.0,,46838000.0
StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,531000.0,,324000.0,,
StockRepurchasedAndRetiredDuringPeriodShares,1185881.0,4074170.0,1185881.0,,1185881.0
StockRepurchasedAndRetiredDuringPeriodValue,300046000.0,600090000.0,201045000.0,,201045000.0
StockIssuedDuringPeriodValueShareBasedCompensation,78183000.0,156760000.0,121007000.0,,175326000.0
NetIncomeLoss,109636000.0,420761000.0,122743000.0,,420761000.0
OtherComprehensiveIncomeLossNetOfTax,-1502000.0,-4181000.0,-1004000.0,,-4803000.0
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,,-920000.0,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,5897000.0,,,5897000.0
